Cabang,Kategori Barang,Kode Barang,Nama Barang,Jenis Barang,Def. Hrg. Jual Satuan #1,Kts (Semua Gdng),Nilai Satuan,Nilai Total,KATEGORI PEMBAYARAN;
Klender,AKSESORIS,CBL01,KABEL AUX LDNIO AUDIO LS-Y01,Persediaan,35000.0,3,25000.0,75000.0,CASH;
Klender,SPAREPART,104761,FLBRD RLM C53,Persediaan,50000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108350,FLOFV INF HOT 40 PRO,Persediaan,25000.0,1,10000.0,10000.0,CASH;
Klender,SPAREPART,108461,PERNIK VLM XIO POCO F4 5G,Persediaan,25000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,102087,BATER SAM A51 A515 A51F FST,Persediaan,115000.0,0,0.0,0.0,CASH;
Klender,JASA,108748,JS LP MESIN NON SPAREPART - NORMAL,Non Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,104460,LCD.. OPP REALME NOTE 50/REALME C53,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,100480,KNCRG SAM J2 PRIME,Persediaan,6272.0,0,0.0,0.0,;
Klender,LAPTOP,106435,LENOVO THINKPAD T14 i5 GEN10 RAM 16/512GB TOUCHSCREEN,Persediaan,5900000.0,0,0.0,0.0,TEMPO;
Klender,SPAREPART,106440,BATER LPT TOSHIBA L740 L745 PA3817,Persediaan,300000.0,0,0.0,0.0,CASH;
Klender,AKSESORIS,103354,V-GEN MMC 8GB TURBO SERIES,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,103037,BATER SAM A22 4G/A31 4G/A32 4G,Persediaan,175000.0,0,0.0,-2e-06,CASH;
Klender,LAPTOP,101638,LENOVO THINKPAD T460 I5 GEN6 8/256GB,Persediaan,3650000.0,0,0.0,0.0,CASH;
Klender,AKSESORIS,AKOR-020,ORAIMO CABLE TYPE C TO LIGHNING MAGNETIC OCD-710CL,Persediaan,99000.0,0,0.0,0.0,KONSI;
Klender,SPAREPART,108351,FLEX. ENGSEL SAM Z FLIP 5,Persediaan,100000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,106497,LCD.. SAM TAB A9 X110,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,107165,FLCRG IPH 13 PRO ORI,Persediaan,300000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108080,CSGFL IPH SE 2020,Persediaan,150000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108189,SSD.. SATA III 256GB V-GEN (NEW),Persediaan,1134900.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108352,BATER SAM Z FLIP 5 (ATAS),Persediaan,185000.0,0,0.0,0.0,CASH;
